indice_tiempo,total,por_categoria_deuda_comercial,anticipos_prefinanciacion_bienes,deuda_por_importacion_bienes,deuda_comercial_servicios,deuda_comercial_lineas_credito,por_categoria_deuda_financiera,deuda_financiera_prestamos_financieros,prestamos_financieros_titulos_deuda,deuda_financiera_por_utilidades_dividendos,deuda_financiera_linea_credito_financiera,deuda_financiera_otras_deudas,por_acreedor_clientes_del_exterior,por_acreedor_proveedores_del_exterior,por_acreedor_empresas_del_mismo_grupo,por_acreedor_entidades_financieras_internacionales,por_acreedor_multiples_tenedores_titulos,por_acreedor_organismos_internacionales_agencias_oficiales,por_acreedor_otros,en_porcentaje_del_pib,en_porcentaje_rrii,en_porcentaje_las_exportaciones
2012-04-01,67875.5543161225,39287.189220859895,7074.87784881,25761.9061354199,5542.986004549999,907.4192320799999,28588.3650952627,16601.092179190004,7930.6471732323,2168.8567060504,454.67316876999996,1433.09586802,2241.604512969999,16508.002694580064,26806.110545100386,10664.86016584,7533.089830882301,2792.0281913000003,1329.8583754499998,0.12195530522007489,1.4644802415101623,0.7019093064323918
2012-07-01,66799.37933115753,38799.398364600005,7198.01571128,24700.15387881,6224.487522230001,676.7412522799998,27999.980966557603,16816.049518980002,7388.4810136076,2170.98889787,435.2184126,1189.2431235,2321.8568417100005,16065.08737642999,26890.61133138997,10140.11510791,7251.772718837598,2785.94851675,1343.9874381299992,0.11755697182183722,1.4840876635658122,0.7010785569615868
2012-10-01,64616.99207714066,36940.25062297,6300.18578204,23170.44852474,6967.961358959999,501.65495723,27676.7414541706,16698.80735604,7237.8552663006,2302.04975801,410.05204213,1027.97703169,2294.994115629998,15172.85744477993,27172.13096363001,8815.00726603,7138.1586551406,2656.76087003,1367.0827619000015,0.11156480197124632,1.4926476982246828,0.6850044990882385
2013-01-01,64840.26113362166,37618.23283465,5836.55264516,24013.048474609997,7431.023103439999,337.60861144,27222.028298972004,16359.63856941,7183.770333232001,2486.8771806100003,423.71924918,768.0229665400001,1947.2684958299992,16324.082365290065,27456.463809400015,8234.569456520001,7085.702432122,2509.6252178799996,1282.5493565800002,0.11024859770048177,1.603140651657152,0.6994268790576108
2013-04-01,66400.29127469091,39000.56904779,5543.183969699999,25623.66240231,7419.84425907,413.87841670999995,27399.722226900998,16081.02626794,7109.3285013409995,2988.5350196899994,408.86187712000003,811.9705608099999,1852.4804512100009,17997.396733779922,27989.89253471995,8024.967160599999,7011.650257701,2316.55496579,1207.3491708899994,0.11052895387737609,1.7943557282620455,0.7009423530554474
2013-07-01,66221.68279939106,38591.78616937001,4736.39691851,25287.15444788,8257.62761429001,310.60718869,27629.8966300211,16024.887952230001,7061.2972061011005,2752.09233067,404.40098117,1387.2181598500001,1731.7004595399987,17831.590367220015,28918.969455969916,7370.740778680003,6961.7767135311,2245.9208971999997,1160.9841272500005,0.10893527446072729,1.906143988091295,0.7106289811917854
2013-10-01,64044.52438290017,36600.2539495,4587.75327905,23316.882423580002,8296.60125136,399.01699551,27444.2704334,16237.748248760001,7394.04929648,2382.72057293,395.28355916000004,1034.4687560700002,1765.5403634800007,16336.749908559968,28539.60325205998,6867.933465329999,7331.3430465500005,2050.83150791,1152.5228390099996,0.10478936858675399,2.0930115667785665,0.7147178658628628
2014-01-01,64662.412254669274,38391.04805361,5749.503865970001,23953.14728752,8188.113865629999,500.28303449000003,26271.364201059398,15603.45117837,7158.939754899399,1828.82590738,387.83204805,1292.31531236,1900.243926719998,16709.732363939976,28228.128048609993,7721.240744140002,7127.167130639399,1919.29603875,1056.60400187,0.10851028192036315,2.394254754776147,0.7432504762550164
2014-04-01,64624.1005374638,39074.4836575101,6017.28176696,23998.269818980098,8315.63291786,743.2991537099999,25549.6168799535,13316.289376519999,7867.3810678835,2555.0550743400004,379.31198906000003,1431.57937215,1883.0603984400009,16498.420034609924,27322.767433789973,8254.584372019997,7835.3690805335,1772.2623763200002,1057.6368417499991,0.11137870202885258,2.2072328576596263,0.7608535619352077
2014-07-01,61999.98274147373,37632.40768828999,4514.47228078,23429.155093519996,8716.59784077,972.18247322,24367.5750531838,13038.673550219997,7835.4427562338,2138.15574466,373.84807618,981.45492589,1740.0393804900011,15748.07093930997,27476.244209920056,6622.0699230300015,7803.8809398138,1660.95233063,948.7250182800003,0.10924100844634908,2.2249714977881414,0.7480916438738905
